District_code|School_code|School_name
AN|AN0125|SRI VANI HIGH SCHOOL 2ND STAGE  RAJAJINAGAR BANGALORE NORTH 
AN|AN0126|MAHMOOD SHARIFF HIGH SCHOOL YESHWANTHAPUR BANGALORE NORTH 
AN|AN0127|ANDHRA EDUCATION SOCIETY HIGH SCHOOL KAMAGONDANAHALLI  JALAHALLI WEST BANGALORE NORTH 
AN|AN0128|EAST WEST HIGH SCHOOL II STAGE  RAJAJINAGAR BANGALORE NORTH 
AN|AN0129|RAGHAVENDRA HIGH SCHOOL DODDABOMMASANDRA BANGALORE NORTH 
AN|AN0130|SEVENTH DAY ADVENTIST ENG. HIGH SCHOOL KAMAGONDANAHALLI JALAHALLY EAST BANGALORE NORTH 
AN|AN0131|SRI VIDYAMANDIRA HIGH SCHOOL MALLESWARAM BANGALORE NORTH 
AN|AN0133|GOVERNMENT JUNIOR COLLEGE PEENYA BANGALORE NORTH 
AN|AN0134|BEACON HIGH SCHOOL 666/48 MAIN ROAD VYALIKAVAL BANGALORE NORTH 
AN|AN0135|SARASWATHI VIDYAMANDIR HIGH SCHOOL MARUTHI EXTENSION BANGALORE NORTH 
AN|AN0136|P.V.P. HIGH SCHOOL K H B COLONY BANGALORE NORTH 
AN|AN0138|GOVERNMENT HIGH SCHOOL JUGANAHALLI  RAJAJINAGAR BANGALORE NORTH 
AN|AN0139|GOVERNMENT JUNIOR COLLEGE SHIVANAHALLY  RAJAJINAGAR BANGALORE NORTH 
AN|AN0140|U.A.S. CAMPUS HIGH SCHOOL HEBBAL BANGALORE NORTH 
AN|AN0141|VIVEKANANDA HIGH SCHOOL II STAGE  RAJAJINAGAR BANGALORE NORTH 
AN|AN0142|GOVERNMENT HIGH SCHOOL KODIGEHALLI  YELAHANKA HOBLI BANGALORE NORTH 
AN|AN0143|GANDHI VIDYALAYA HIGH SCHOOL R M V IIND STAGE,LOTTEGOLLAHALLI BANGALORE NORTH 
AN|AN0144|FLORENCE HIGH SCHOOL BASAVESHWARA NAGAR III STAGE  R NAGAR BANGALORE NORTH 
AN|AN0147|ANUPAMA ENGLISH HIGH SCHOOL WEST OF CHORD RD,IISTAGE MAHALAKSHMI PRM BANGALORE NORTH 
AN|AN0148|P.K.B COMPOSITE JUNIOR COLLEGE MARASANDRA DODDATUMKUR POST VIA DODBALPR BANGALORE NORTH 
AN|AN0149|HYMAMSHU JYOTHI KALAPEETA MALLESWARAM BANGALORE NORTH 
AN|AN0150|PARIJATHA HIGH SCHOOL SHIVARAMAIAH GARDEN VENKATESHPURAM BANGALORE NORTH 
AN|AN0152|'ST.ANTHONY`S BOYS HIGH SCHOOL ST.JOHN''S HILL BANGALORE NORTH '
AN|AN0153|GOVERNMENT HIGH SCHOOL PALACE GUTTAHALLI BANGALORE NORTH 
AN|AN0154|GOVERNMENT HIGH SCHOOL KETHAMARNAHALLY  RAJAJINAGAR BANGALORE NORTH 
AN|AN0155|OXFORD HIGH SCHOOL OXFORD BUILDINGS,NANDINI LAYOUT, BANGALORE 
AN|AN0156|SACRED HEART HIGH SCHOOL SHILVEPURA  THARABANAHALLI BANGALORE NORTH 
AN|AN0157|GOVERNMENT HIGH SCHOOL CHIKKABANAVARA BANGALORE NORTH 
AN|AN0158|GOVERNMENT HIGH SCHOOL AGRAHARA LAYOUT (YELAHANKA) BANGALORE NORTH 
AN|AN0159|GOVERNMENT HIGH SCHOOL HEBBAL BANGALORE NORTH 
AN|AN0160|SRI KRISHNA KANNADA MED HIGH SCHOOL NO 214, 7TH CROSS LAKSHMIDEVINAGAR BANGALORE
AN|AN0161|FLORENCE HIGH SCHOOL VIVIANI ROAD BANGALORE NORTH 
AN|AN0162|A P HIGH SCHOOL 7/8  ASHOKA PURAM BANGALORE NORTH 
AN|AN0164|SHREE SIDDAGANGA HIGH SCHOOL JANGANA MATA  SHIVANAHALLI BANGALORE NORTH 
